FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
9.494057,44.320461,0.046494,32.168427,15.290794,785.892517
9.832279,44.639328,0.085578,32.151104,16.231503,785.271484
10.168502,44.957512,0.128428,32.132668,17.207464,784.63501
10.501932,45.27494,0.17522,32.113098,18.218821,783.983093
10.831756,45.591488,0.226123,32.092373,19.265665,783.315674
11.157091,45.907059,0.281303,32.070473,20.348038,782.632751
11.476961,46.221565,0.340914,32.047394,21.465925,781.934265
11.790281,46.534966,0.405102,32.023098,22.619255,781.220215
12.09587,46.847252,0.474,31.997566,23.807888,780.490417
12.392479,47.158436,0.547738,31.970753,25.03161,779.745056
12.67885,47.468521,0.626442,31.942629,26.290136,778.983887
12.953747,47.777466,0.710242,31.913137,27.583134,778.207031
13.215991,48.08519,0.799291,31.88224,28.91025,777.414307
13.464451,48.391594,0.89377,31.849878,30.271141,776.605652
13.698037,48.696545,0.993901,31.816008,31.665495,775.781006
13.915669,48.99995,1.099936,31.780584,33.09301,774.940308
14.116268,49.301758,1.212141,31.743599,34.553375,774.083374
14.298746,49.601936,1.330768,31.705008,36.046303,773.210083
14.462039,49.900494,1.456033,31.664789,37.571472,772.320435
14.605138,50.197445,1.588112,31.622902,39.128578,771.414307
14.727139,50.492779,1.727143,31.579288,40.717316,770.491516
14.827272,50.786446,1.873248,31.533895,42.33741,769.551941
14.904912,51.078373,2.026538,31.486658,43.988632,768.595642
14.959554,51.368454,2.18712,31.437496,45.670803,767.622253
14.990778,51.656582,2.355092,31.38633,47.383812,766.631592
14.998233,51.942703,2.530535,31.333097,49.127628,765.623657
14.981615,52.226784,2.713495,31.277744,50.902271,764.598022
14.940685,52.50882,2.903972,31.220222,52.707779,763.554688
14.875296,52.788837,3.101908,31.1605,54.544239,762.493408
14.785406,53.066849,3.307178,31.098524,56.411751,761.414185
14.671107,53.342815,3.519605,31.034256,58.310497,760.31665
14.532607,53.616665,3.738959,30.967634,60.240707,759.200623
14.370213,53.888309,3.964961,30.898602,62.202705,758.065857
14.184291,54.157631,4.197291,30.827091,64.196877,756.912231
13.975224,54.424534,4.435595,30.753048,66.223671,755.739502
13.743391,54.68898,4.679494,30.676416,68.283554,754.547424
13.489161,54.950947,4.928593,30.597157,70.377037,753.335876
13.212912,55.210449,5.182477,30.51524,72.504601,752.104492
12.915053,55.467503,5.440706,30.430643,74.666748,750.853333
12.596054,55.722095,5.702818,30.343346,76.863998,749.582092
12.256431,55.974174,5.968328,30.253325,79.096848,748.29071
11.896725,56.223637,6.236732,30.160547,81.365852,746.978821
11.517475,56.470402,6.507508,30.064995,83.671585,745.646301
11.119181,56.714363,6.780132,29.966637,86.014603,744.29303
10.702286,56.955475,7.05407,29.865452,88.3955,742.918579
10.26719,57.193729,7.328786,29.761427,90.814781,741.523071
9.814272,57.42915,7.603744,29.654554,93.272949,740.10614
9.343919,57.661774,7.878404,29.544832,95.770401,738.667847
8.856544,57.891632,8.152237,29.432276,98.307487,737.207947
8.352592,58.118706,8.424721,29.316889,100.884583,735.72644
7.832514,58.342926,8.695336,29.198685,103.501968,734.223022
7.296756,58.564224,8.963559,29.077677,106.159981,732.697632
6.745726,58.782509,9.22886,28.953897,108.858841,731.150146
6.179786,58.997726,9.490698,28.827377,111.59874,729.580322
5.599265,59.209858,9.748528,28.698156,114.379761,727.98822
5.004483,59.418926,10.001803,28.566265,117.201874,726.373718
4.395786,59.624943,10.24997,28.431755,120.064987,724.736755
3.773564,59.827927,10.49248,28.294662,122.968857,723.077271
3.138257,60.027866,10.728781,28.155048,125.913216,721.395142
2.490327,60.224678,10.958321,28.012966,128.89772,719.690308
1.830239,60.418274,11.180552,27.868467,131.921997,717.962769
1.158436,60.60854,11.394933,27.721613,134.985535,716.21228
0.475332,60.795387,11.600935,27.572466,138.087784,714.438904
-0.218667,60.978733,11.798032,27.421101,141.227997,712.642517
-0.923144,61.15855,11.98571,27.267601,144.40538,710.823059
-1.637647,61.334824,12.163465,27.112047,147.618958,708.980591
-2.361676,61.507542,12.330807,26.954512,150.867706,707.11499
-3.094688,61.676678,12.487265,26.795055,154.150482,705.226379
-3.836119,61.842163,12.632397,26.633734,157.466171,703.314575
-4.585404,62.00388,12.765789,26.470615,160.813522,701.379578
-5.342005,62.161728,12.887062,26.305759,164.191269,699.421265
-6.10541,62.315594,12.995862,26.139238,167.598068,697.439636
-6.875139,62.465382,13.091872,25.971107,171.032455,695.434631
-7.650713,62.611061,13.174797,25.801426,174.492828,693.406311
